,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
15,Young Love,Rose in the Dark,Cleo Sol,2020-03-27,264710,53,0.477,0.633,0.477,0.484,1.83e-06,0.11,-7.821,0.0529,135.592,4
16,Pasadena,Pasadena,Tinashe,2021-06-04,177577,50,0.707,0.59,0.707,0.731,0.0,0.0463,-5.659,0.193,86.033,4
17,Benjamins Burn,Project E.T.,Future,2016-10-13,307617,56,0.612,0.161,0.612,0.308,0.0,0.105,-11.456,0.592,139.401,4
18,Why Won't You Make Up Your Mind?,InnerSpeaker,Tame Impala,2010-05-21,199320,50,0.459,0.0098,0.459,0.835,0.23,0.327,-4.831,0.0592,129.097,4
19,gasbreakdip,98 Corolla,seiji oda,2021-03-19,131020,32,0.886,0.0134,0.886,0.602,0.0,0.115,-7.149,0.376,98.042,4
20,N 2 Deep,Certified Lover Boy,Drake,2021-09-03,273577,78,0.507,0.0518,0.507,0.429,0.0,0.109,-7.726,0.326,91.0,3
21,Sum Change,Sum Change,Mundane,2021-09-02,161053,0,0.855,0.292,0.855,0.295,0.000557,0.0953,-13.328,0.116,122.027,4
22,Wassup,Hold On,Yeat,2020-09-10,130716,8,0.679,0.473,0.679,0.337,0.0,0.165,-16.112,0.357,145.183,4
23,Sorry Bout That,4L,Yeat,2021-06-10,186017,74,0.73,8.47e-05,0.73,0.643,0.0,0.203,-7.811,0.0984,141.961,4
24,Girl,Easy Money Baby,Myke Towers,2020-01-24,186426,73,0.733,0.0325,0.733,0.708,0.000327,0.324,-4.957,0.0937,93.021,4
0,Freddy Krueger (feat. Tee Grizzley),Freddy Krueger (feat. Tee Grizzley),YNW Melly,2018-11-23,244506,67,0.834,0.0918,0.834,0.621,0.0,0.0759,-6.156,0.0821,140.05,4
1,Day 'N' Nite (nightmare),Man On The Moon: The End Of Day,Kid Cudi,2009-09-15,221266,72,0.871,0.499,0.871,0.44,4.15e-06,0.114,-6.25,0.0761,137.996,4
2,Nightmare,Without Warning,21 Savage,2017-10-30,147986,59,0.739,0.443,0.739,0.405,0.207,0.158,-10.897,0.085,157.09,4
3,Dreams and Nightmares,Dreams and Nightmares (Deluxe Edition),Meek Mill,2012-10-26,230693,73,0.631,0.468,0.631,0.774,0.0,0.281,-2.459,0.3,79.745,4
4,Monster,My Beautiful Dark Twisted Fantasy,Kanye West,2010-11-22,378893,72,0.628,0.00244,0.628,0.692,0.0129,0.668,-5.64,0.202,124.887,5
5,Monster Mash,The Original Monster Mash,"Bobby ""Boris"" Pickett",1962,192040,69,0.541,0.375,0.541,0.504,0.0,0.421,-14.191,0.457,68.482,4
6,Thriller,Scream,Michael Jackson,2017-09-27,358053,72,0.764,0.0816,0.764,0.887,0.00011,0.847,-3.726,0.0744,118.427,4
7,Kiss Land,Kiss Land,The Weeknd,2013-01-01,455333,54,0.324,0.0415,0.324,0.852,0.0,0.061,-6.675,0.109,121.881,4
8,Nightcrawler (feat. Swae Lee & Chief Keef),Rodeo (Expanded Edition),Travis Scott,2015-09-04,321560,66,0.522,0.00134,0.522,0.728,0.0,0.132,-3.801,0.0323,124.045,4
9,Vamp Anthem,Whole Lotta Red,Playboi Carti,2020-12-25,124093,77,0.642,0.00599,0.642,0.69,1.3e-06,0.322,-5.101,0.261,164.075,4
10,Mad Stalkers,Without Warning,21 Savage,2017-10-30,202666,61,0.9,0.147,0.9,0.365,0.185,0.179,-6.395,0.236,135.004,4
11,FM$,FM$,New Boyz,2012-04-13,181907,62,0.67,0.0906,0.67,0.474,0.0299,0.0762,-7.245,0.383,94.973,4
12,You Better Move,Eternal Atake,Lil Uzi Vert,2020-03-06,196638,62,0.842,0.159,0.842,0.556,0.0,0.204,-6.793,0.442,118.836,4
0,Kiss of Life,The Best of Sade,Sade,1994-10-31,251333,66,0.723,0.633,0.723,0.47,0.0373,0.0968,-11.302,0.028,97.107,4
1,Enough!!,We got it from Here... Thank You 4 Your service,A Tribe Called Quest,2016-11-11,200693,45,0.676,0.251,0.676,0.57,0.000663,0.295,-7.23,0.0652,77.381,4
0,5's and 6's,Big Bossin Vol. 2,Payroll Giovanni & Cardo,2018-01-26,197333,47,0.763,0.0657,0.763,0.727,0.154,0.107,-6.925,0.0563,97.009,4
1,Essence (feat. Tems),Made In Lagos,WizKid,2020-10-29,248040,78,0.849,0.0266,0.849,0.707,8.58e-06,0.618,-6.002,0.113,104.027,4
2,DEJA VU,CLAIRVOYANCE,Thouxanbanfauni,2020-07-21,142560,55,0.723,0.0148,0.723,0.618,1.08e-05,0.314,-7.636,0.0398,127.989,4
3,Tings,Purple Heart,Baby Smoove,2019-08-10,112991,56,0.607,0.00445,0.607,0.809,0.0,0.267,-7.668,0.167,84.955,4
4,Taking All Fades,Coffee Break,Problem,2021-08-20,227509,49,0.761,0.241,0.761,0.572,0.0,0.0739,-3.636,0.218,98.897,4
5,Palm Trees,La'Donna,Charm La'Donna,2021-04-09,127348,19,0.824,0.122,0.824,0.673,0.0,0.0779,-8.329,0.228,74.997,4
6,Yonaguni,Yonaguni,Bad Bunny,2021-06-04,206710,93,0.644,0.276,0.644,0.648,0.0,0.135,-4.601,0.118,179.951,4
0,SAME ENERGY,SAME ENERGY,MAUIMØON,2020-06-15,121000,2,0.665,0.323,0.665,0.539,0.00136,0.474,-6.458,0.0771,150.097,4
1,Ehu Girl,This Is The Life,Kolohe Kai,2009-09-25,229760,60,0.803,0.135,0.803,0.625,0.0,0.0888,-5.379,0.0382,133.013,4
2,Everywhereigo,Everywhereigo,Babyxsosa,2019-01-29,135471,73,0.892,0.0569,0.892,0.384,7.64e-05,0.105,-12.975,0.407,140.091,4
3,Summer,Nirvana,Bktherula,2020-10-22,166234,46,0.447,0.00691,0.447,0.573,0.0,0.169,-7.79,0.0553,164.313,4
4,By Your Side (Neptunes Remix) - Remastered,The Ultimate Collection,Sade,2011-05-09,239093,47,0.764,0.0839,0.764,0.565,0.00421,0.0649,-7.92,0.0682,82.0,4
5,Baby Powder,Baby Powder,Jenevieve,2020-03-25,180435,6,0.784,0.323,0.784,0.521,0.000283,0.0518,-8.217,0.0529,78.456,3
6,Too Fast,Too Fast,Yeek,2019-04-26,214639,41,0.697,0.173,0.697,0.617,0.000137,0.167,-4.455,0.0582,145.53,3
7,Snæks,Halfway Off the Porch,AG Club,2020-01-25,201377,40,0.4,0.929,0.4,0.462,0.00139,0.0953,-10.306,0.0599,147.568,1
8,Why iii Love The Moon.,Yesterday's Tomorrow,Phony Ppl,2015-01-13,331826,64,0.706,0.547,0.706,0.483,1.94e-06,0.136,-7.929,0.0393,92.002,4
9,Bloom,Mango,bLAck pARty,2016-10-14,302000,58,0.749,0.261,0.749,0.399,0.0126,0.0949,-7.526,0.0393,89.972,4
10,Mango (Freestyle / Process),A Collection of Fleeting Moments and Daydreams,Orion Sun,2020-01-06,290063,52,0.591,0.51,0.591,0.456,0.0575,0.123,-10.057,0.111,96.47,4
11,Slide (feat. Frank Ocean & Migos),Slide (feat. Frank Ocean & Migos),Calvin Harris,2017-02-24,230813,73,0.736,0.498,0.736,0.795,1.21e-06,0.254,-3.299,0.0545,104.066,4
12,Dream Girl,This Is The Life,Kolohe Kai,2009-09-25,229586,56,0.595,0.27,0.595,0.507,0.0,0.0376,-7.152,0.0363,134.189,4
13,Omw,((( 2 ))),((( O ))),2020-08-27,238493,52,0.799,0.578,0.799,0.497,0.365,0.119,-9.185,0.186,113.992,4
14,Designer Boi,Designer Boi,A$AP NAST,2020-04-17,130957,53,0.667,0.343,0.667,0.534,2.93e-06,0.114,-6.842,0.0914,179.474,4
15,What You Heard,What You Heard,Sonder,2019-02-22,238242,71,0.429,0.546,0.429,0.371,5.71e-06,0.104,-9.017,0.0327,137.134,4
16,Call Me Up,Fresh Air,HOMESHAKE,2017-02-03,148563,22,0.764,0.861,0.764,0.24,0.00681,0.101,-11.229,0.104,76.019,4
17,So Many Details,So Many Details / So Many Details Remix,Toro y Moi,2012-12-04,285036,6,0.625,0.0428,0.625,0.623,0.0576,0.157,-11.125,0.0655,143.991,4
18,Colorado,Colorado,Kota the Friend,2018-10-24,206500,65,0.905,0.453,0.905,0.562,0.000285,0.13,-7.884,0.0662,139.997,4
19,Dancing,Endless Summer,bLAck pARty,2019-08-23,245720,62,0.902,0.596,0.902,0.468,0.00542,0.238,-8.671,0.0535,95.008,4
20,Best I Ever Had,Thank Me Later (Int'l Version),Drake,2010-01-01,258760,60,0.431,0.0951,0.431,0.894,0.0,0.188,-2.673,0.33,162.161,4
21,Been Away,Fuck The World,Brent Faiyaz,2020-02-07,223629,67,0.602,0.477,0.602,0.5,5.69e-05,0.295,-9.377,0.298,132.798,4
22,West Coast Love,The Juice: Vol. II,Emotional Oranges,2019-11-08,215386,67,0.696,0.00666,0.696,0.65,0.153,0.14,-5.712,0.0326,91.997,4
23,Only in the West,Sebastian,Yeek,2017-04-28,196170,62,0.954,0.0723,0.954,0.537,0.0569,0.218,-6.871,0.0901,116.964,4
24,Beautiful,Paid Tha Cost To Be Da Bo$$,Snoop Dogg,2002-01-01,298306,0,0.905,0.234,0.905,0.693,0.0,0.0845,-6.418,0.131,101.019,4
25,Jerry Sprunger (with T-Pain),Chixtape 5,Tory Lanez,2019-11-15,233546,68,0.76,0.137,0.76,0.746,0.0,0.0905,-5.331,0.227,100.011,4
26,Frío,Frío,Omar Apollo,2019-10-30,125706,52,0.689,0.501,0.689,0.836,0.00129,0.108,-3.966,0.408,85.795,4
27,Ugotme,Stereo,Omar Apollo,2018-05-30,127272,62,0.782,0.454,0.782,0.494,6.31e-05,0.134,-1.458,0.0339,65.832,4
28,Phone Numbers,Phone Numbers,Dominic Fike,2019-07-04,146826,73,0.884,0.239,0.884,0.539,0.0,0.0805,-6.389,0.208,85.008,4
29,The Difference,The Difference,Flume,2020-03-11,139662,71,0.56,0.255,0.56,0.865,0.000153,0.083,-1.148,0.0909,159.96,4
30,Whoa (feat. Pharrell Williams) - Remix,Whoa (feat. Pharrell Williams) [Remix],Snoh Aalegra,2020-02-14,201061,43,0.695,0.252,0.695,0.443,0.000646,0.0995,-13.547,0.103,94.009,4
31,"III. Telegraph Ave. (""Oakland"" by Lloyd)",Because the Internet,Childish Gambino,2013-12-10,210673,63,0.496,0.159,0.496,0.693,0.0261,0.142,-9.576,0.247,129.929,4
32,Come a Little Closer,Melophobia,Cage The Elephant,2013-10-08,229346,54,0.44,0.0265,0.44,0.778,1.04e-06,0.151,-1.786,0.0327,148.038,4
33,Cigarette Daydreams,Melophobia,Cage The Elephant,2013-10-08,208760,61,0.636,0.0807,0.636,0.676,0.0,0.0831,-3.442,0.0263,113.98,4
34,Gimme All Your Love,Sound & Color,Alabama Shakes,2015-04-21,243466,0,0.392,0.204,0.392,0.57,0.299,0.385,-5.249,0.0466,105.468,3
35,Don't Wanna Fight,Sound & Color,Alabama Shakes,2015-04-21,232546,0,0.606,0.259,0.606,0.915,0.107,0.105,-3.292,0.166,100.433,4
0,Break It Off,Break It Off,PinkPantheress,2021-06-04,95317,75,0.544,0.00311,0.544,0.888,7.8e-06,0.076,-5.003,0.116,171.69,4
2,Passion,Passion,PinkPantheress,2021-07-01,138268,71,0.699,0.49,0.699,0.628,0.782,0.101,-5.163,0.0369,79.968,4
3,Senseless,Senseless,Kodak Black,2021-07-29,143857,68,0.799,0.0522,0.799,0.548,0.0,0.113,-6.377,0.244,75.016,4
4,Gaslight feat. Travis Barker,lately I feel EVERYTHING,WILLOW,2021-07-16,109474,59,0.349,0.00164,0.349,0.911,0.0,0.366,-4.724,0.0611,185.014,4
5,Color Theory,Color Theory,Kari Faux,2018-06-15,172739,52,0.614,0.153,0.614,0.65,0.0,0.144,-7.211,0.0398,100.029,4
6,Los Pollos Hermanos,Los Pollos Hermanos,Knucks,2021-03-12,95871,75,0.798,0.683,0.798,0.618,0.0,0.695,-8.218,0.163,139.972,4
7,EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),KHALED KHALED,DJ Khaled,2021-04-30,236524,79,0.477,0.000866,0.477,0.727,0.0,0.108,-4.053,0.286,150.062,4
8,Over The Top (feat. Drake),Over The Top (feat. Drake),Smiley,2021-07-23,153406,77,0.833,0.0493,0.833,0.498,0.0,0.119,-5.196,0.117,139.928,4
9,STAY UP,STAY UP / SWEET,Stevedreez,2021-05-14,229765,50,0.803,0.000592,0.803,0.319,0.0154,0.103,-10.736,0.154,110.007,4
0,Ghetto Angels,The Backend Child,NoCap,2019-05-28,235263,61,0.68,0.107,0.68,0.669,0.0,0.112,-5.621,0.191,152.174,4
1,Death Enclaimed,Death Enclaimed,YoungBoy Never Broke Again,2016,206582,58,0.538,0.372,0.538,0.646,0.0,0.324,-7.789,0.361,80.883,1
0,pick up the phone,Birds In The Trap Sing McKnight,Travis Scott,2016-09-16,252256,72,0.711,0.114,0.711,0.739,0.0,0.226,-3.804,0.129,136.919,4
0,Feelin' Peachy,Happy Birthday Kodak,Kodak Black,2021-06-11,191625,48,0.6,0.3,0.6,0.56,0.0,0.151,-5.91,0.304,127.113,4
1,Tell Em,Tell Em,Cochise,2021-05-28,180379,85,0.672,0.103,0.672,0.717,0.0,0.398,-7.476,0.226,157.905,4
2,Little While (feat. Big Sean & Hit-Boy),Little While (feat. Big Sean & Hit-Boy),Sada Baby,2021-05-17,219192,53,0.834,0.00308,0.834,0.888,0.0,0.288,-3.944,0.222,114.92,4
3,Neighborhood Hoochie (Remix),Neighborhood Hoochie (Remix),MCM Raymond,2020-06-19,184464,28,0.843,0.0389,0.843,0.466,0.0,0.16,-7.473,0.0569,102.052,4
4,Heart Mind,FEMA (Finesse Elevate Motivate Achieve),Kodak Black,2017-10-31,203840,74,0.921,0.0274,0.921,0.641,0.0,0.0645,-6.491,0.166,144.986,4
5,Z Look Jamaican,Haitian Boy Kodak,Kodak Black,2021-05-14,156112,61,0.953,0.0381,0.953,0.466,0.0,0.0916,-6.297,0.0572,123.044,4
6,Behind Barz - Bonus,Top Boy (A Selection of Music Inspired by the Series),Various Artists,2019-09-13,163120,63,0.854,0.769,0.854,0.554,1.84e-06,0.0749,-4.684,0.172,142.069,4
7,Walked In,Walked In,P-Lo,2020-12-02,140811,40,0.943,0.091,0.943,0.462,0.0,0.187,-7.909,0.275,99.943,4
8,Feels so Right,Numbers,Larry June,2020-12-20,167510,56,0.485,0.0637,0.485,0.706,0.0,0.191,-8.803,0.406,78.151,4
9,Permanent Scar (feat. Young Thug and Quando Rondo),4Respect 4Freedom 4Loyalty 4WhatImportant,YoungBoy Never Broke Again,2018-09-14,198504,52,0.828,0.262,0.828,0.698,0.0,0.089,-3.808,0.137,131.9,4
10,Fuck Ur Algorithm,Lil Miss Canada,Horsepowar,2020-07-31,113600,3,0.929,0.227,0.929,0.615,0.0,0.0927,-8.424,0.262,110.023,4
11,2 Chains,25,G Herbo,2021-07-02,244329,57,0.698,0.0482,0.698,0.715,2.84e-05,0.135,-3.717,0.301,165.129,4
12,Incredible (feat. Drakeo the Ruler),Incredible,Bino Rideaux,2021-04-16,153750,45,0.767,0.0322,0.767,0.56,0.0,0.0675,-6.135,0.216,96.04,4
13,Start Some Shyt,Start Some Shyt,Sheff G,2021-06-28,183000,60,0.686,0.84,0.686,0.388,1.88e-06,0.131,-12.707,0.389,155.066,4
14,Don’t Leave Me,Haitian Boy Kodak,Kodak Black,2021-05-14,156000,48,0.765,0.0512,0.765,0.613,0.0,0.205,-7.276,0.379,159.81,4
15,Hello Baby feat. Fivio Foreign,Off the Yak,Young M.A,2021-05-21,178562,59,0.893,0.211,0.893,0.537,0.0,0.0599,-6.822,0.364,140.038,4
16,Today,A Love Letter To You 2,Trippie Redd,2017-10-06,217211,51,0.639,0.0624,0.639,0.608,1.02e-05,0.311,-7.775,0.0379,141.927,4
17,Like 34 & 8 (feat. Pooh Shiesty),Ice Daddy,Gucci Mane,2021-06-18,232467,48,0.76,0.0154,0.76,0.585,4.56e-06,0.401,-5.498,0.192,142.967,4
18,White Toes (feat. Jacquees),Happy Birthday Kodak,Kodak Black,2021-06-11,132435,41,0.543,0.0048,0.543,0.866,0.0,0.39,-5.371,0.0537,77.526,4
19,"Amber Rolls (feat. Rylo Rodriguez, Yo Gotti and Lil Keed)",Happy Birthday Kodak,Kodak Black,2021-06-11,224000,46,0.794,0.15,0.794,0.713,0.0,0.384,-4.279,0.171,89.979,4
20,Watering My Plants,Adjust To The Game,Larry June,2020-03-04,135789,63,0.572,0.0541,0.572,0.578,1.12e-05,0.388,-6.68,0.266,76.697,4
21,Squidrific,Squidtastic,SahBabii,2018-08-29,172954,56,0.746,0.355,0.746,0.358,0.00071,0.0813,-8.072,0.134,74.023,4
22,5 Hoes in a Tahoe,Enter the Infantry,Marino Infantry,2019-12-10,176232,43,0.726,0.515,0.726,0.431,0.0,0.0953,-14.176,0.218,120.063,4
23,Iced Out Gold Chain,Dior Deposits (Deluxe),Guapdad 4000,2019-12-20,211754,41,0.814,0.336,0.814,0.531,0.0,0.0784,-7.113,0.117,98.037,4
24,GFU (feat. Yung Kayo),GFU (feat. Yung Kayo),Young Stoner Life,2021-01-29,165173,35,0.828,0.00117,0.828,0.824,0.0,0.443,-6.614,0.312,129.874,4
25,Audemar (feat. Tracy T),Slime Language,Young Thug,2018-08-17,207333,40,0.907,0.0296,0.907,0.499,0.0,0.118,-9.985,0.256,131.97,4
26,Drugs N Hella Melodies (feat. Kali Uchis),Drugs N Hella Melodies (feat. Kali Uchis),Don Toliver,2021-06-18,198775,68,0.57,0.158,0.57,0.643,0.000459,0.112,-7.531,0.0861,146.906,4
27,The Thrill,The Thrill,Wiz Khalifa,2020-11-11,234333,79,0.817,0.277,0.817,0.775,0.0,0.108,-4.767,0.108,126.984,4
28,Hit Bout It,Hit Bout It,Lil Yachty,2021-02-19,177158,59,0.631,0.0779,0.631,0.72,0.00737,0.135,-5.262,0.0617,180.899,4
29,SPEND IT,THE HUSTLE CONTINUES,Juicy J,2020-11-27,198274,53,0.864,0.0293,0.864,0.721,0.0,0.21,-5.578,0.279,164.055,4
30,Pardon Me (Lil Yachty feat. Future & Mike WiLL Made-It),Lil Boat 3,Lil Yachty,2020-05-29,178900,65,0.887,0.0704,0.887,0.597,0.0,0.178,-6.66,0.281,129.976,4
31,Dynamic Duo (feat. Tee Grizzley),Michigan Boy Boat,Lil Yachty,2021-04-23,227368,50,0.799,0.138,0.799,0.67,0.0,0.141,-7.964,0.296,95.003,4
32,Too Blessed,Lucky 7,Rich The Kid,2021-01-29,200000,52,0.906,0.00591,0.906,0.351,0.0,0.109,-10.18,0.239,143.891,4
33,Off White VLONE (Lil Baby & Gunna feat. Lil Durk & NAV),Drip Harder,Lil Baby,2018-10-05,187464,63,0.859,0.105,0.859,0.506,0.0,0.113,-8.115,0.418,140.973,4
34,Style Stealer (Lil Baby & Gunna),Drip Harder,Lil Baby,2018-10-05,185381,52,0.808,0.0741,0.808,0.523,0.000295,0.0957,-7.034,0.0605,155.998,4
35,No Relations,YBN: The Mixtape,YBN Nahmir,2018-09-07,134433,46,0.924,0.205,0.924,0.696,0.0,0.287,-10.231,0.34,115.028,4
36,It's Sum Shit On Me,The Truth Hurts,Drakeo the Ruler,2021-02-24,178125,39,0.748,0.0974,0.748,0.522,3.54e-05,0.318,-9.149,0.23,96.01,4
0,One Step At a Time,Jordin Sparks,Jordin Sparks,2007-11-20,205160,62,0.766,0.0825,0.766,0.692,0.0,0.0384,-4.672,0.0289,102.028,4
1,Pretty Girl Rock,No Boys Allowed,Keri Hilson,2010-01-01,243920,70,0.666,0.203,0.666,0.87,0.0,0.0851,-5.004,0.246,160.014,4
2,Down,All Or Nothing,Jay Sean,2009-01-01,212506,79,0.727,0.0101,0.727,0.68,0.0,0.0821,-4.498,0.0286,132.012,4
3,Dilemma,Nellyville,Nelly,2002-06-25,289160,78,0.727,0.227,0.727,0.552,0.000164,0.198,-8.074,0.14,168.189,4
4,Love,The Way It Is,Keyshia Cole,2005-01-01,255333,74,0.688,0.064,0.688,0.519,0.0,0.1,-4.285,0.0283,116.714,4
5,DJ Got Us Fallin' In Love (feat. Pitbull),Raymond v Raymond (Expanded Edition),Usher,2010-03-30,220800,80,0.663,0.0338,0.663,0.861,0.0,0.082,-3.398,0.109,119.963,4
6,Leave (Get Out),Home Alone,Various Artists,1997-09-25,240493,34,0.704,0.158,0.704,0.573,4.88e-05,0.0854,-6.75,0.218,87.024,4
7,Energy,In A Perfect World...,Keri Hilson,2009-01-01,209840,50,0.427,0.0788,0.427,0.767,0.0,0.095,-5.783,0.143,76.711,4
8,T-Shirt,Shontelligence,Shontelle,2008-01-01,234760,65,0.679,0.0219,0.679,0.657,0.0,0.295,-6.222,0.0423,86.984,4
9,All I Have,10,LL Cool J,2002-10-08,254373,50,0.707,0.264,0.707,0.655,0.0,0.126,-5.704,0.103,83.087,4
10,Tattoo,Jordin Sparks,Jordin Sparks,2007-11-20,233466,63,0.566,0.431,0.566,0.766,0.0,0.101,-5.036,0.0399,168.005,4
11,She's Like A Star,Departure,Taio Cruz,2008-01-01,218706,52,0.51,0.000345,0.51,0.601,0.0,0.141,-4.629,0.103,133.151,5
12,"Love in This Club, Pt. II (feat. Beyoncé & Lil' Wayne)",Here I Stand,Usher,2008-05-27,309040,64,0.623,0.0322,0.623,0.487,0.0,0.146,-7.954,0.113,138.893,4
